lead_cities,city_id
Aachen,1
Berlin,2
Bochum,3
Bonn,4
Dresden,5
Duisburg,6
Düsseldorf,7
Erlangen,8
Frankfurt,9
Freiburg,10
Giessen,11
Göttingen,12
Greifswald,13
Halle,14
Hamburg,15
Hannover,16
Heidelberg,17
Homburg,18
Jena,19
Köln,20
Leipzig,21
LMU_München,22
Magdeburg,23
Mainz,24
Mannheim,25
Marburg,26
Münster,27
Regensburg,28
Rostock,29
Schleswig-Holstein,30
TU_München,31
Tübingen,32
Ulm,33
Witten-Herdecke,34
Würzburg,35
Kiel,30
Lübeck,30
LMU München,22
TU München,31
